meter,district,buildYear,rooms,price,elevator,space,parking,floor,averageDistrictValue,test
95,vanak,1385,2,13500000000,0,1,1,1,157799501.22157013,14990952616.049162
85,vanak,1384,2,11200000000,1,1,1,1,157799501.22157013,13412957603.833462
140,vanak,1390,3,19500000000,1,1,1,5,157799501.22157013,22091930171.019817
160,vanak,1370,2,33000000000,1,1,1,12,157799501.22157013,25247920195.45122
250,vanak,1390,3,40000000000,1,1,1,3,157799501.22157013,39449875305.39253
95,vanak,1374,2,10000000000,1,1,1,4,157799501.22157013,14990952616.049162
175,vanak,1388,3,25500000000,1,1,1,2,157799501.22157013,27614912713.774773
82,vanak,1380,2,8500000000,0,1,1,4,157799501.22157013,12939559100.16875
122,chitgar,1402,2,8680000000,1,1,1,5,23439804.39795851,2859656136.550938
72,chitgar,1403,2,2160000000,1,1,1,9,23439804.39795851,1687665916.6530128
125,chitgar,1403,3,1600000000,1,1,1,13,23439804.39795851,2929975549.744814
100,chitgar,1403,2,1200000000,1,1,1,11,23439804.39795851,2343980439.7958508
120,chitgar,1401,2,7800000000,1,1,1,15,23439804.39795851,2812776527.755021
75,chitgar,1403,2,750000000,1,1,1,16,23439804.39795851,1757985329.8468883
70,chitgar,1394,1,5000000000,1,1,1,2,23439804.39795851,1640786307.8570957
61,chitgar,1403,1,1100000000,1,1,1,16,23439804.39795851,1429828068.275469
50,chitgar,1402,1,700000000,1,1,1,18,23439804.39795851,1171990219.8979254
231,chitgar,1403,2,17500000000,1,1,1,2,23439804.39795851,5414594815.928415
75,chitgar,1403,2,950000000,1,1,1,13,23439804.39795851,1757985329.8468883
60,chitgar,1402,1,1100000000,1,1,1,15,23439804.39795851,1406388263.8775105
80,chitgar,1403,2,3950000000,1,1,1,9,23439804.39795851,1875184351.836681
130,chitgar,1403,2,1690000000,1,1,1,10,23439804.39795851,3047174571.7346063
307,chitgar,1403,4,2500000000,1,1,1,22,23439804.39795851,7196019950.173263
90,chitgar,1403,2,1500000000,1,1,1,10,23439804.39795851,2109582395.8162658
100,chitgar,1402,2,1500000000,1,1,1,8,23439804.39795851,2343980439.7958508
65,chitgar,1403,1,422500000,1,1,1,13,23439804.39795851,1523587285.8673031
50,chitgar,1403,1,350000000,1,1,1,12,23439804.39795851,1171990219.8979254
100,chitgar,1403,2,1000000000,1,1,1,19,23439804.39795851,2343980439.7958508
42,gomrok,1390,1,2000000000,0,0,0,0,51429063.607970625,2160020671.534766
66,gomrok,1399,2,3300000000,1,1,1,4,51429063.607970625,3394318198.1260614
107,gomrok,1396,2,5900000000,1,0,1,4,51429063.607970625,5502909806.052856
112,gomrok,1399,2,7840000000,1,1,0,2,51429063.607970625,5760055124.0927105
31,gomrok,1380,1,1620000000,0,0,0,4,51429063.607970625,1594300971.8470893
60,gomrok,1382,2,2500000000,0,0,1,3,51429063.607970625,3085743816.4782376
91,gomrok,1391,2,4400000000,1,0,1,4,51429063.607970625,4680044788.325327
82,gomrok,1382,2,4100000000,0,0,1,0,51429063.607970625,4217183215.8535914
49,gomrok,1393,1,2550000000,1,1,0,2,51429063.607970625,2520024116.7905607
50,gomrok,1389,1,2730000000,1,1,0,2,51429063.607970625,2571453180.3985314
121,gomrok,1403,3,7000000000,1,1,1,3,51429063.607970625,6222916696.5644455
58,gomrok,1386,2,2500000000,0,0,1,3,51429063.607970625,2982885689.262296
103,gomrok,1403,3,6400000000,1,1,0,1,51429063.607970625,5297193551.620975
68,gomrok,1395,2,3800000000,1,1,0,4,51429063.607970625,3497176325.3420024
43,gomrok,1382,1,2250000000,0,0,1,1,51429063.607970625,2211449735.142737
64,gomrok,1392,2,4300000000,1,1,0,0,51429063.607970625,3291460070.91012
112,gomrok,1403,2,6720000000,1,1,1,1,51429063.607970625,5760055124.0927105
48,gomrok,1384,1,2000000000,0,1,1,3,51429063.607970625,2468595053.18259
75,gomrok,1394,2,3530000000,1,0,1,1,51429063.607970625,3857179770.597797
40,gomrok,1385,1,1950000000,0,1,1,0,51429063.607970625,2057162544.318825
72,shahrak-naft-district5,1390,2,8000000000,1,1,1,2,113434825.71159942,8167307451.235159
85,shahrak-naft-district5,1385,2,7000000000,0,0,1,1,113434825.71159942,9641960185.48595
98,shahrak-naft-district5,1392,2,11600000000,1,1,1,1,113434825.71159942,11116612919.736744
400,shahrak-naft-district5,1385,4,45000000000,1,1,1,9,113434825.71159942,45373930284.63977
140,shahrak-naft-district5,1403,3,21000000000,1,1,1,2,113434825.71159942,15880875599.623919
193,shahrak-naft-district5,1394,3,26500000000,1,1,1,6,113434825.71159942,21892921362.338688
80,shahrak-naft-district5,1385,2,7200000000,1,1,1,1,113434825.71159942,9074786056.927954
80,shahrak-naft-district5,1383,2,7600000000,0,1,1,2,113434825.71159942,9074786056.927954
140,shahrak-naft-district5,1402,3,18800000000,1,1,1,4,113434825.71159942,15880875599.623919
79,shahrak-naft-district5,1387,2,7400000000,1,1,1,3,113434825.71159942,8961351231.216354
91,shahrak-naft-district5,1398,2,12500000000,1,1,1,1,113434825.71159942,10322569139.755548
80,shahrak-naft-district5,1385,2,8900000000,1,1,1,2,113434825.71159942,9074786056.927954
83,shahrak-naft-district5,1403,2,7710000000,1,1,1,3,113434825.71159942,9415090534.062752
77,shahrak-naft-district5,1403,2,7000000000,1,1,1,2,113434825.71159942,8734481579.793156
65,shahrak-naft-district5,1403,1,5550000000,1,1,1,6,113434825.71159942,7373263671.2539625
100,shahrak-naft-district5,1401,2,12500000000,1,1,1,6,113434825.71159942,11343482571.159943
120,shahrak-naft-district5,1389,3,12600000000,1,1,1,4,113434825.71159942,13612179085.391932
68,shahrak-naft-district5,1387,2,6750000000,0,1,0,3,113434825.71159942,7713568148.388761
70,shahrak-naft-district5,1384,2,8350000000,1,1,1,5,113434825.71159942,7940437799.811959
44,shahrak-naft-district5,1402,1,7700000000,1,1,1,6,113434825.71159942,4991132331.310374
134,shahrak-naft-district5,1397,3,17800000000,1,1,1,4,113434825.71159942,15200266645.354322
95,shahrak-naft-district5,1393,2,11000000000,1,1,1,2,113434825.71159942,10776308442.601946
105,shahrak-naft-district5,1396,2,12500000000,1,1,1,5,113434825.71159942,11910656699.71794
100,shahrak-naft-district5,1402,2,13000000000,1,1,1,6,113434825.71159942,11343482571.159943
80,marzdaran,1390,2,11000000000,1,1,1,3,133593003.19770636,10687440255.81651
78,marzdaran,1394,2,12500000000,1,1,1,2,133593003.19770636,10420254249.421095
108,marzdaran,1390,2,12150000000,1,1,1,4,133593003.19770636,14428044345.352287
76,marzdaran,1393,2,7800000000,1,1,1,1,133593003.19770636,10153068243.025682
90,marzdaran,1390,2,10500000000,1,1,1,3,133593003.19770636,12023370287.793571
167,marzdaran,1399,3,27000000000,1,1,1,1,133593003.19770636,22310031534.01696
107,marzdaran,1398,2,14800000000,1,1,1,5,133593003.19770636,14294451342.154581
200,marzdaran,1393,3,24500000000,1,1,1,1,133593003.19770636,26718600639.54127
117,marzdaran,1403,3,12285000000,1,1,1,1,133593003.19770636,15630381374.131643
165,marzdaran,1399,3,30000000000,1,1,1,4,133593003.19770636,22042845527.621548
76,marzdaran,1392,2,7800000000,1,1,1,1,133593003.19770636,10153068243.025682
92,marzdaran,1393,2,11200000000,1,1,1,1,133593003.19770636,12290556294.188984
85,marzdaran,1384,2,9850000000,1,1,1,3,133593003.19770636,11355405271.80504
105,marzdaran,1392,2,12500000000,1,1,1,3,133593003.19770636,14027265335.759167
75,marzdaran,1385,2,7500000000,1,1,1,3,133593003.19770636,10019475239.827976
150,marzdaran,1402,3,22500000000,1,1,1,2,133593003.19770636,20038950479.655952
165,marzdaran,1394,3,22250000000,1,1,1,4,133593003.19770636,22042845527.621548
88,marzdaran,1385,2,10550000000,1,1,1,1,133593003.19770636,11756184281.398159
86,marzdaran,1389,2,11750000000,1,1,1,4,133593003.19770636,11488998275.002747
91,marzdaran,1392,2,13200000000,1,1,1,4,133593003.19770636,12156963290.991278
100,marzdaran,1400,2,12500000000,1,1,1,1,133593003.19770636,13359300319.770636
119,shamshiri,1394,2,7980000000,1,1,1,4,60641809.125972636,7216375285.990744
44,shamshiri,1397,1,2550000000,1,0,1,2,60641809.125972636,2668239601.542796
56,shamshiri,1390,1,3300000000,0,1,1,4,60641809.125972636,3395941311.0544677
44,shamshiri,1394,1,2580000000,1,0,1,2,60641809.125972636,2668239601.542796
50,shamshiri,1393,1,3150000000,1,0,1,2,60641809.125972636,3032090456.2986317
60,shamshiri,1390,2,3400000000,0,0,0,1,60641809.125972636,3638508547.558358
50,shamshiri,1393,1,3100000000,1,0,1,2,60641809.125972636,3032090456.2986317
56,shamshiri,1383,1,2500000000,0,0,1,3,60641809.125972636,3395941311.0544677
67,shamshiri,1390,1,3400000000,0,0,0,1,60641809.125972636,4063001211.4401665
55,shamshiri,1390,1,3200000000,1,0,1,1,60641809.125972636,3335299501.928495
73,shamshiri,1391,2,4600000000,1,0,1,1,60641809.125972636,4426852066.196002
47,shamshiri,1380,1,2350000000,0,0,0,1,60641809.125972636,2850165028.920714
42,shamshiri,1392,1,2850000000,1,1,0,2,60641809.125972636,2546955983.2908506
103,shamshiri,1391,2,6900000000,1,1,1,4,60641809.125972636,6246106339.975182
55,shamshiri,1400,1,3450000000,1,0,1,2,60641809.125972636,3335299501.928495
64,shamshiri,1395,2,4160000000,1,0,0,4,60641809.125972636,3881075784.0622487
69,shamshiri,1403,2,4950000000,1,1,0,2,60641809.125972636,4184284829.692112
40,shamshiri,1371,2,2760000000,0,1,1,0,60641809.125972636,2425672365.0389056
39,shamshiri,1397,1,2800000000,1,1,1,2,60641809.125972636,2365030555.912933
52,shamshiri,1393,1,3250000000,1,1,1,2,60641809.125972636,3153374074.550577
52,ostad-moein,1392,1,2300000000,1,1,1,2,67652946.99546248,3517953243.7640486
90,ostad-moein,1402,2,7100000000,1,1,1,2,67652946.99546248,6088765229.591623
112,ostad-moein,1395,2,8300000000,1,1,1,2,67652946.99546248,7577130063.491797
51,ostad-moein,1390,1,3200000000,0,1,0,1,67652946.99546248,3450300296.768586
60,ostad-moein,1385,2,4000000000,0,0,1,4,67652946.99546248,4059176819.727749
47,ostad-moein,1387,1,1800000000,1,1,1,4,67652946.99546248,3179688508.7867365
57,ostad-moein,1403,1,4100000000,1,0,1,1,67652946.99546248,3856217978.741361
130,ostad-moein,1396,3,10000000000,1,1,1,3,67652946.99546248,8794883109.410122
90,ostad-moein,1403,2,7800000000,1,1,1,1,67652946.99546248,6088765229.591623
48,ostad-moein,1390,1,4000000000,1,1,1,1,67652946.99546248,3247341455.782199
64,ostad-moein,1396,2,4400000000,1,1,1,5,67652946.99546248,4329788607.709599
60,ostad-moein,1401,2,4140000000,1,1,1,3,67652946.99546248,4059176819.727749
72,ostad-moein,1397,2,4550000000,1,1,1,5,67652946.99546248,4871012183.673298
